City,Name,"Fuel (W=waste, B=biomass)",Heat output (MWheat),Electric output (MWe),Existing FGC heat output (MWheat),Year of commissioning,Live steam temperature (degC),Live steam pressure (bar),Latitude,Longitude,mean_captured,Size,Origin,Route_Length,density_bio,density_w2e
Tranas,Sodra Vakten 2 ,B,18.0,7.0,6,2014,450,70,58.02958545507644,15.00478709538197,44.73011065298125,15.986117674757478,Stockholm/Norvik,1521.1,0.0805,
Trollhattan,Lextorp KVV,B,13.0,3.6,4,2006,485,51,58.31115030036897,12.265509568965651,29.64369047069124,8.557079147522746,Goteborg,616.6,0.05466666666666667,
Umea,Dava 2 ,B,75.0,30.0,27,2010,543,143,63.80915506877732,20.248428890503547,191.17538086159334,88.10047889268407,Sundsvall,1874.9,0.72,
Vimmerby,Tallholmen,B,15.0,7.5,5,2015,450,70,57.6610166949329,15.86338724241017,40.12863792360926,13.720204504139721,Stockholm/Norvik,1521.1,0.03288888888888889,
Varnamo,Varnamo KVV,B,13.4,4.0,4,2014,485,51,57.20256688457722,13.99378760354647,30.994098412698623,9.22206345178026,Goteborg,616.6,0.0512,
Vasteras,Vasteras Block 5 ,B,110.0,60.0,43,1973,540,120,59.60752638994478,16.54539187070027,301.4078045516574,142.38246975923053,Stockholm/Norvik,1521.1,0.7548571428571429,
Vasteras,Vasteras Block 7 ,B,100.0,50.0,33,2020,520,91,59.62893913092603,16.51008522215848,271.00402440090136,127.41067052625597,Stockholm/Norvik,1521.1,0.732,
Vaxjo,Sandviksverket 2 ,B,65.0,39.0,25,1996,540,142,56.864689,14.857424,183.141823955753,84.14449708632546,Malmo,936.2,0.6474285714285715,
Vaxjo,Sandviksverket 3 ,B,65.0,39.0,23,2015,540,140,56.864689,14.857424,183.78617356451414,84.46179555810703,Malmo,936.2,0.6513333333333333,
alvsbyn,alvsbyns KVV,B,10.0,3.0,3,2007,450,60,65.67509429371162,20.97565954479772,23.358585589589065,5.462091354180539,Lulea,2321.3,0.01,
orebro,abyverket P4 ,B,46.0,24.0,16,2012,540,140,59.27381468389501,15.197980928712903,125.14540925783939,55.585197131385335,Stockholm/Norvik,1521.1,0.452,
ornskoldsvik,Horneborgsverket,B,80.0,40.0,27,2007,540,139,63.2663500894627,18.643841181823245,214.58197603532483,99.62663919021878,Sundsvall,1874.9,0.6673333333333333,
ostersund,Lugnvik KVV,B,80.0,45.0,28,2012,545,145,63.15888717608348,14.642500956180111,226.28009908041417,105.38717122818497,Sundsvall,1874.9,0.6451428571428571,
